__ym,orders,rev,gp,AOV,margin%
2025-03,298,159335.0,41845.0,534.68,26.26
2025-04,303,205081.0,43831.0,676.83,21.37
2025-05,369,200314.0,40110.0,542.86,20.02
2025-06,309,137140.0,36143.0,443.82,26.35
2025-07,376,181255.0,47288.0,482.06,26.09
2025-08,374,188469.0,50804.0,503.93,26.96
2025-09,346,160993.0,48388.0,465.3,30.06
2025-10,361,194845.0,49104.0,539.74,25.2
2025-11,309,180336.0,42188.0,583.61,23.39
2025-12,355,173879.0,39178.0,489.8,22.53
2026-01,312,163823.0,46506.0,525.07,28.39
2026-02,261,138577.0,34832.0,530.95,25.14
2026-03,313,174755.0,50112.0,558.32,28.68
2026-04,236,121966.0,41614.0,516.81,34.12
