query,branded,clicks_24d,impressions,position
phonebot,branded,478,3298,1.4897
best android phone 2026,non-branded,375,15482,6.4729
phonebot reservoir,branded,169,455,1.0088
best samsung phone,non-branded,112,9687,5.9223
phone bot,branded,103,1278,2.5313
oppo vs samsung,non-branded,93,1555,2.7106
best phones 2026,non-branded,84,2052,6.8338
best samsung phone 2026,non-branded,84,5560,6.504
best android phones 2026,non-branded,65,3745,8.7258
phonebot australia,branded,48,385,1.026
top 10 android phones 2026,non-branded,45,2460,5.6321
cheap phones,non-branded,42,4526,6.6542
refurbished phones,non-branded,42,4233,11.875
samsung vs oppo,non-branded,40,653,2.4686
cheap iphones,non-branded,37,1498,4.781
best samsung phones,non-branded,36,2281,6.8203
best phone 2026,non-branded,31,1613,8.4445
new android phones 2026,non-branded,30,1548,7.6298
apple's 50th anniversary sale offers major discounts on iphone 17 models,non-branded,28,793,2.1261
iphone parts checker,non-branded,28,346,6.5029
top android phones 2026,non-branded,27,1006,6.1551
best samsung phone 2025,non-branded,26,1364,5.4025
best samsung phones 2026,non-branded,26,1589,7.1334
oppo vs samsung which is better,non-branded,26,415,2.1157
skyphonez,non-branded,26,378,3.2354
android phone 2026,non-branded,25,672,8.6205
best android 2026,non-branded,25,426,5.4131
best budget camera phone,non-branded,25,1147,9.1805
iphone 13 price in australia,non-branded,25,1081,2.7262
refurbished phones australia,non-branded,24,1034,6.3114
cheap iphone,non-branded,23,1976,5.0825
sell iphone,non-branded,23,661,7.9955
top 10 best samsung phones,non-branded,22,851,4.0999
best android phone 2026 australia,non-branded,21,196,1.3724
iphone price in australia,non-branded,20,1742,7.2824
phonebot melbourne,branded,20,124,1.0081
best budget phone australia,non-branded,19,172,3.7035
iphone 14 price in australia,non-branded,19,711,3.4065
reebelo australia,non-branded,19,8547,4.3621
best android phone,non-branded,18,836,8.7835
best samsung phone price quality,non-branded,18,1076,4.7732
iphone 15 price in australia,non-branded,18,1315,5.2183
best phone under 500 aud,non-branded,17,98,1.1429
cheap ipad,non-branded,17,1170,5.3564
cheapest iphone,non-branded,17,1866,2.1131
refurbished laptops australia,non-branded,17,1283,5.7482
best battery life phone,non-branded,16,893,11.5689
cheap iphones australia,non-branded,16,190,2.0263
cheap mobile phones,non-branded,16,2298,9.2624
top 10 samsung phones,non-branded,16,429,5.5711
best phones under $500 australia,non-branded,15,137,1.2555
$0 upfront mobile phone plans australia,non-branded,14,355,7.5042
best budget camera phone 2026,non-branded,14,665,6.9053
ios 17 supported devices,non-branded,14,1204,3.7292
iphone 15,non-branded,14,8431,8.1757
oppo mu samsung mu,non-branded,14,147,2.5986
refurbished iphone,non-branded,13,718,16.6031
refurbished samsung phones,non-branded,13,1141,9.0631
