Campaign,Cost,Conversions,Conversionsvalue
CJ - PMax (Apple),14611.9105,216.33,118369.1
CJ - PMax (Samsung),6030.833,79.99,45059.6
CJ - PMax (< $100 / Accessories) (PB),5614.5947,332.07,13203.54
CJ - PMax (Everything Else),3061.4289,41.2,26184.97
CJ - Phonebot (B),2815.3632,312.48,103016.1
CJ - DSA (All Pages),2656.1946,41.06,16191.2
CJ - PMax (Google),2066.4379,35.42,15911.05
CJ - PMax (Zombie SKUs),1773.9123,29.6,8588.22
CJ - Sell Phone For Cash (Australia),1324.485,59.96,3239.49
CJ - Refurbished Phones,788.4116,23.79,8948.0
CJ - DSA (All Pages) - Retargeting,716.7373,10.94,5001.55
CJ - Refurbished Tablets,661.7115,17.97,5812.94
CJ - Refurbished Apple Watch,99.5732,4.0,846.07
