Date,Branded,Clicks,Impressions,CTR,Position
2026-03-30,(unknown),363,77212,0.0047,12.8578
2026-03-30,branded,27,540,0.05,7.1815
2026-03-30,non-branded,377,192701,0.002,8.6645
2026-03-31,(unknown),366,75322,0.0049,11.8616
2026-03-31,branded,30,517,0.058,5.7756
2026-03-31,non-branded,370,183546,0.002,13.2393
2026-04-01,(unknown),326,72330,0.0045,11.572
2026-04-01,branded,33,527,0.0626,5.5389
2026-04-01,non-branded,353,163307,0.0022,8.0018
2026-04-02,(unknown),297,73310,0.0041,11.0869
2026-04-02,branded,30,503,0.0596,4.9284
2026-04-02,non-branded,355,173132,0.0021,8.1699
2026-04-03,(unknown),321,84010,0.0038,12.5547
2026-04-03,branded,51,584,0.0873,15.4195
2026-04-03,non-branded,292,125764,0.0023,9.4763
2026-04-04,(unknown),339,76093,0.0045,11.4062
2026-04-04,branded,29,505,0.0574,6.8752
2026-04-04,non-branded,329,130961,0.0025,8.5769
2026-04-05,(unknown),342,74459,0.0046,11.0929
2026-04-05,branded,37,490,0.0755,7.1143
2026-04-05,non-branded,368,148379,0.0025,8.5118
2026-04-06,(unknown),382,83729,0.0046,11.9157
2026-04-06,branded,45,569,0.0791,6.8752
2026-04-06,non-branded,408,177050,0.0023,8.3683
2026-04-07,(unknown),357,83924,0.0043,10.996
2026-04-07,branded,38,543,0.07,7.0737
2026-04-07,non-branded,399,176057,0.0023,8.4352
2026-04-08,(unknown),366,87270,0.0042,10.4942
2026-04-08,branded,54,584,0.0925,5.8322
2026-04-08,non-branded,360,170734,0.0021,8.6266
2026-04-09,(unknown),382,86778,0.0044,9.1465
2026-04-09,branded,34,558,0.0609,5.8495
2026-04-09,non-branded,380,163159,0.0023,8.6286
2026-04-10,(unknown),341,77272,0.0044,8.9046
2026-04-10,branded,32,472,0.0678,7.3305
2026-04-10,non-branded,334,131308,0.0025,8.5897
2026-04-11,(unknown),362,71231,0.0051,7.9131
2026-04-11,branded,34,467,0.0728,6.3919
2026-04-11,non-branded,365,141270,0.0026,7.9569
2026-04-12,(unknown),352,73291,0.0048,8.301
2026-04-12,branded,50,543,0.0921,6.6851
2026-04-12,non-branded,372,129595,0.0029,8.3487
2026-04-13,(unknown),370,86192,0.0043,9.9618
2026-04-13,branded,55,674,0.0816,6.5831
2026-04-13,non-branded,373,142263,0.0026,8.9884
2026-04-14,(unknown),359,80701,0.0044,10.9999
2026-04-14,branded,37,522,0.0709,5.91
2026-04-14,non-branded,421,122077,0.0034,10.3849
2026-04-15,(unknown),360,85457,0.0042,12.2803
2026-04-15,branded,37,607,0.061,6.2949
2026-04-15,non-branded,414,191137,0.0022,15.1409
2026-04-16,(unknown),382,86156,0.0044,12.3106
2026-04-16,branded,41,610,0.0672,6.0885
2026-04-16,non-branded,424,153779,0.0028,14.961
2026-04-17,(unknown),371,81247,0.0046,12.2555
2026-04-17,branded,30,541,0.0555,5.8207
2026-04-17,non-branded,409,137671,0.003,13.3674
2026-04-18,(unknown),340,81240,0.0042,12.0685
2026-04-18,branded,42,527,0.0797,5.0114
2026-04-18,non-branded,371,150366,0.0025,16.3466
2026-04-19,(unknown),330,84078,0.0039,12.6685
2026-04-19,branded,34,615,0.0553,8.5951
2026-04-19,non-branded,386,139621,0.0028,13.8737
2026-04-20,(unknown),372,81873,0.0045,13.4207
2026-04-20,branded,38,614,0.0619,7.2557
2026-04-20,non-branded,395,146962,0.0027,14.4992
2026-04-21,(unknown),375,74353,0.005,14.3574
2026-04-21,branded,35,555,0.0631,14.0613
2026-04-21,non-branded,406,130264,0.0031,13.1122
2026-04-22,(unknown),405,74627,0.0054,14.796
2026-04-22,branded,34,585,0.0581,14.4479
2026-04-22,non-branded,417,126106,0.0033,12.2824
2026-04-23,(unknown),389,70586,0.0055,13.3555
2026-04-23,branded,42,609,0.069,5.509
2026-04-23,non-branded,471,127772,0.0037,11.7475
2026-04-24,(unknown),386,69597,0.0055,11.9332
2026-04-24,branded,43,585,0.0735,6.8974
2026-04-24,non-branded,468,127489,0.0037,11.6649
2026-04-25,(unknown),372,65210,0.0057,10.9624
2026-04-25,branded,43,597,0.072,6.3116
2026-04-25,non-branded,383,128492,0.003,11.5014
2026-04-26,(unknown),370,67886,0.0055,11.4936
2026-04-26,branded,40,657,0.0609,8.0594
2026-04-26,non-branded,432,122870,0.0035,11.5991
2026-04-27,(unknown),287,67926,0.0042,13.6454
2026-04-27,branded,33,388,0.0851,5.4433
2026-04-27,non-branded,365,98813,0.0037,10.7269
