Date,Cost,Website_purchases,Purchase_value
2026-01-25,116.88,7,3679.99
2026-01-26,109.6,4,1889.0
2026-01-27,114.6,11,6946.99
2026-01-28,122.55,4,2578.0
2026-01-29,134.3,2,738.0
2026-01-30,170.44,3,3231.99
2026-01-31,164.18,5,5055.99
2026-02-01,149.7,7,5105.98
2026-02-02,117.9,8,5827.98
2026-02-03,115.31,13,7469.99
2026-02-04,121.69,11,5754.99
2026-02-05,145.78,4,2016.0
2026-02-06,142.37,13,8070.93
2026-02-07,135.98,4,2104.0
2026-02-08,161.14,6,4838.98
2026-02-09,172.33,7,5739.0
2026-02-10,169.21,2,507.99
2026-02-11,154.7,9,5185.99
2026-02-12,160.01,7,5135.0
2026-02-13,148.43,5,3892.98
2026-02-14,175.43,7,2878.0
2026-02-15,178.96,10,6155.0
2026-02-16,223.83,4,2502.99
2026-02-17,201.32,7,3717.96
2026-02-18,211.46,16,8691.98
2026-02-19,242.69,21,12141.0
2026-02-20,276.59,14,5544.98
2026-02-21,307.02,16,7229.98
2026-02-22,331.72,25,18856.95
2026-02-23,300.94,9,5636.97
2026-02-24,420.25,13,5102.98
2026-02-25,470.81,24,15744.93
2026-02-26,506.29,12,9867.0
2026-02-27,470.68,7,6754.0
2026-02-28,468.06,10,4991.98
2026-03-01,444.24,14,11094.98
2026-03-02,371.16,10,4373.99
2026-03-03,346.47,15,8747.96
2026-03-04,368.35,12,8230.99
2026-03-05,349.91,21,10253.94
2026-03-06,343.0,8,4566.0
2026-03-07,312.99,21,12096.96
2026-03-08,303.04,9,5335.99
2026-03-09,289.93,5,2543.0
2026-03-10,274.42,9,7284.98
2026-03-11,282.72,18,8580.99
2026-03-12,323.31,11,6275.0
2026-03-13,267.55,13,6990.99
2026-03-14,363.84,17,7499.0
2026-03-15,350.53,9,5157.0
2026-03-16,325.33,16,10200.0
2026-03-17,501.72,13,8378.0
2026-03-18,460.85,5,1914.97
2026-03-19,351.96,15,9894.96
2026-03-20,290.03,15,6887.0
2026-03-21,310.43,7,3920.0
2026-03-22,261.11,8,3270.0
2026-03-23,286.17,11,6189.97
2026-03-24,350.46,24,22425.96
2026-03-25,354.28,10,5472.0
2026-03-26,375.51,14,9742.0
2026-03-27,370.34,10,4161.96
2026-03-28,404.66,6,5487.0
2026-03-29,343.1,7,3926.0
2026-03-30,319.04,12,9916.99
2026-03-31,263.19,11,7683.0
2026-04-01,272.99,4,2776.0
2026-04-02,207.63,10,3878.98
2026-04-03,245.96,16,9459.98
2026-04-04,236.53,10,5616.0
2026-04-05,232.3,3,1511.98
2026-04-06,263.95,10,4861.98
2026-04-07,312.76,5,2463.0
2026-04-08,337.68,15,5557.98
2026-04-09,258.27,16,5498.99
2026-04-10,250.17,12,8243.98
2026-04-11,206.27,0,0.0
2026-04-12,187.32,5,1937.0
2026-04-13,195.06,6,3379.0
2026-04-14,196.55,8,4440.0
2026-04-15,234.14,3,1058.0
2026-04-16,203.75,2,1993.0
2026-04-17,186.43,14,5451.0
2026-04-18,190.4,4,5892.0
2026-04-19,170.32,6,3410.99
2026-04-20,183.05,11,5612.98
2026-04-21,170.39,5,4743.98
2026-04-22,155.01,10,5603.98
2026-04-23,150.6,12,6086.0
2026-04-24,177.66,4,1175.0
