Date,Cost,Conversions,Conversionsvalue
2026-01-25,758.3028,22.08,10584.21
2026-01-26,571.2352,12.73,3957.68
2026-01-27,849.2962,25.1,13235.65
2026-01-28,1010.2513,16.24,7857.67
2026-01-29,966.4611,17.22,11031.33
2026-01-30,951.5221,17.13,11512.95
2026-01-31,878.0357,17.51,8798.33
2026-02-01,1148.689,23.46,13293.57
2026-02-02,1117.8703,22.97,14236.54
2026-02-03,1344.1718,15.79,6094.37
2026-02-04,1379.509,24.97,12496.61
2026-02-05,1361.7628,29.55,15723.11
2026-02-06,1103.2657,19.49,9765.32
2026-02-07,1450.424,20.99,7891.9
2026-02-08,1663.9648,22.45,12087.13
2026-02-09,1062.461,28.36,16114.78
2026-02-10,839.2871,22.12,9882.65
2026-02-11,847.3151,17.98,11684.8
2026-02-12,1430.5378,23.81,13104.43
2026-02-13,978.5197,24.76,13583.72
2026-02-14,823.6565,17.51,6452.79
2026-02-15,840.824,18.88,10206.94
2026-02-16,1011.5763,28.77,12312.84
2026-02-17,989.7835,20.85,10899.04
2026-02-18,1509.8176,31.76,13429.25
2026-02-19,1684.4523,36.54,21167.34
2026-02-20,1376.9385,24.41,12312.99
2026-02-21,1358.7421,29.86,15638.05
2026-02-22,1436.114,21.68,16131.66
2026-02-23,1508.2801,32.99,14013.25
2026-02-24,1960.7121,18.43,6256.0
2026-02-25,1429.619,15.9,9213.72
2026-02-26,1463.1424,17.84,12072.86
2026-02-27,1089.2755,25.86,12109.15
2026-02-28,1052.7152,15.06,7835.3
2026-03-01,857.5462,16.68,6639.21
2026-03-02,1077.0643,22.81,13705.12
2026-03-03,917.3471,22.02,11163.29
2026-03-04,963.0977,19.14,10892.42
2026-03-05,1184.5835,25.88,12383.35
2026-03-06,807.8388,16.08,7384.3
2026-03-07,989.0964,22.51,14552.51
2026-03-08,842.326,15.98,7124.84
2026-03-09,953.0672,18.64,9909.27
2026-03-10,1005.7339,19.42,11051.7
2026-03-11,1145.5174,29.96,14382.08
2026-03-12,1162.5755,17.68,8515.23
2026-03-13,1200.0317,15.4,6968.33
2026-03-14,1052.1313,18.17,9886.9
2026-03-15,1185.9532,21.97,8938.77
2026-03-16,1049.3214,21.9,12900.41
2026-03-17,898.5671,16.25,8799.9
2026-03-18,792.5906,21.3,10211.17
2026-03-19,986.9233,14.54,8580.03
2026-03-20,824.2408,18.56,10301.75
2026-03-21,744.1172,13.47,6244.42
2026-03-22,617.8939,18.17,5894.63
2026-03-23,641.5558,17.91,8900.45
2026-03-24,506.5002,15.83,10104.49
2026-03-25,589.1937,19.65,7883.8
2026-03-26,754.525,20.44,9779.82
2026-03-27,861.5003,21.88,11342.52
2026-03-28,879.5267,17.08,8494.47
2026-03-29,911.5404,19.81,9125.93
2026-03-30,920.9497,18.69,12415.23
2026-03-31,714.2447,18.29,7783.03
2026-04-01,834.2579,17.64,7325.92
2026-04-02,812.3539,21.16,12999.42
2026-04-03,629.3812,11.8,6594.42
2026-04-04,554.3812,10.32,3773.95
2026-04-05,426.8383,12.0,7802.38
2026-04-06,476.06,16.07,10933.49
2026-04-07,560.4434,5.5,2811.14
2026-04-08,535.4878,14.01,5837.13
2026-04-09,472.1925,17.85,6331.55
2026-04-10,407.8738,15.85,7870.44
2026-04-11,303.4334,5.54,2138.25
2026-04-12,353.7567,9.98,3515.58
2026-04-13,454.8376,10.53,7561.41
2026-04-14,497.419,18.94,8856.64
2026-04-15,442.9058,8.01,4194.45
2026-04-16,525.4512,13.98,6515.93
2026-04-17,560.8116,15.48,5892.72
2026-04-18,659.4166,8.0,6332.02
2026-04-19,651.8347,18.05,10917.04
2026-04-20,644.5198,13.23,5724.9
2026-04-21,664.4437,18.26,10376.8
2026-04-22,834.3241,16.44,9798.23
2026-04-23,957.8992,17.54,11030.98
2026-04-24,802.6927,8.39,4462.84
