Campaign,Source,spend,platform_conv,platform_rev,ga4_sessions,ga4_purch,ga4_rev,pm_sessions,pm_purch,pm_rev,pm_gp,platform_ROAS,ga4_ROAS,pm_ROAS,pm_GP_per_spend,over_attrib_x,net_profit
CJ - PMax (Apple) iPad,google,3644.088,74.49,30918.54,3449,58,22263,3152.0,52.0,20186.0,6278.05,8.48,6.11,5.54,1.72,1.5,2634.0
CJ - PMax (Samsung),google,2876.3223,57.02,30803.51,2756,46,24274,2513.0,37.0,19619.0,5721.88,10.71,8.44,6.82,1.99,1.6,2846.0
CJ - Phonebot (B),google,2576.8641,116.68,72012.47,3776,108,67725,3175.0,86.0,57240.0,14832.92,27.95,26.28,22.21,5.76,1.3,12256.0
SS - All Products >$1000,google,1719.32,14.16,16025.03,1438,7,7855,1284.0,5.0,5525.0,1921.86,9.32,4.57,3.21,1.12,2.9,203.0
CJ - PMax (Apple),google,1654.4861,24.69,15825.47,1265,18,10270,1083.0,15.0,7504.0,1874.03,9.57,6.21,4.54,1.13,2.1,220.0
CJ - Refurbished Phones,google,1233.3781,24.19,12687.16,648,14,7040,583.0,12.0,5821.0,1644.3,10.29,5.71,4.72,1.33,2.2,411.0
CJ - Phonebot (B) - Lower ROAS,google,1002.4849,13.93,7237.16,490,10,4336,424.0,10.0,4944.0,1085.81,7.22,4.33,4.93,1.08,1.5,83.0
CJ - PMax (Google),google,991.1771,19.57,9950.12,741,17,8970,660.0,11.0,5797.0,1545.45,10.04,9.05,5.85,1.56,1.7,554.0
CJ - PMax (Everything Else),google,886.5743,10.54,5889.13,1552,8,5273,1412.0,4.0,2020.0,785.58,6.64,5.95,2.28,0.89,2.9,-101.0
CJ - Bing Shopping (All Products),bing,791.63,14.0,6071.0,1156,12,4927,1086.0,9.0,4402.0,2050.41,7.67,6.22,5.56,2.59,1.4,1259.0
CJ - Refurbished Phones,bing,762.74,8.0,4184.0,1151,10,5637,1076.0,12.0,7494.0,2426.27,5.49,7.39,9.83,3.18,0.6,1664.0
PMax - Apple Watches,google,751.1375,17.55,5987.18,1055,15,5122,975.0,10.0,2897.0,884.17,7.97,6.82,3.86,1.18,2.1,133.0
SS - Excluded Products - >$100,google,429.5,3.48,3375.21,436,5,4282,386.0,4.0,2925.0,798.52,7.86,9.97,6.81,1.86,1.2,369.0
Standard Shopping - iPhone 17,google,343.49,0.0,0.0,384,0,0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-343.0
Phonebot (B) Standard Shopping,google,335.87,12.55,11129.83,232,13,12389,183.0,10.0,9012.0,2146.26,33.14,36.89,26.83,6.39,1.2,1810.0
CJ - PMax (< $100 / Accessories) (PB),google,198.1429,31.58,1111.8,323,29,964,285.0,26.0,883.0,495.71,5.61,4.87,4.46,2.5,1.3,298.0
CJ - Sell Phone For Cash (Australia),google,180.5839,3.0,0.0,301,0,0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-181.0
CJ - Phonebot (B),bing,121.09,13.0,10547.0,268,11,7101,234.0,12.0,7376.0,1666.69,87.1,58.64,60.91,13.76,1.4,1546.0
PMax - iPhone 17,google,104.493,0.23,74.73,49,0,0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,74.7,-104.0
CJ - DSA (All Pages),google,96.4685,2.26,830.42,62,2,708,0.0,0.0,0.0,0.0,8.61,7.34,0.0,0.0,830.4,-96.0
PMax - Covers - Excl.Products,google,80.9224,14.86,4680.89,224,9,1889,231.0,7.0,1521.0,514.25,57.84,23.34,18.8,6.35,3.1,433.0
Standard Shopping (Apple) - iPads,bing,24.77,0.0,0.0,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
